형태소,품사,분류,카운트
뛰어넘,Verb,7,1
뛰어넘는,Verb,5,1
뛰어넘는,Verb,6,2
뛰어넘는,Verb,10,1
뛰어넘어,Verb,10,2
뛰어넘어서,Verb,10,1
뛰어넘은,Verb,10,1
뛰어넘을듯,Verb,8,1
뛰어넘지는,Verb,6,1
뛰어넘지는,Verb,9,1
뛰어넘진못,Verb,6,1
뛰어다,Verb,7,1
뛰어다녀서,Verb,10,2
뛰어다녀야,Verb,9,1
뛰어다는,Verb,8,1
뛰어다니고,Verb,8,2
뛰어다니기까지,Verb,6,1
뛰어다니기만,Verb,7,1
뛰어다니는,Verb,6,2
뛰어다니는,Verb,7,1
뛰어다니는,Verb,8,2
뛰어다니는,Verb,9,1
뛰어다니는,Verb,10,2
뛰어다니는거,Verb,9,1
뛰어다니면,Verb,10,1
뛰어드는,Verb,1,1
뛰어드는,Verb,7,1
뛰어들어가서,Verb,10,1
뛰어야,Verb,9,1
뛰어야,Verb,10,1
뛰어올,Verb,9,1
뛰었던,Verb,10,1
뛰었습니다,Verb,9,1
뛰었어요,Verb,9,1
뛰었어요,Verb,10,1
뛰여,Verb,7,1
뜀,Verb,8,2
뜀,Verb,10,2
뜨,Verb,4,3
뜨,Verb,5,2
뜨,Verb,7,2
뜨,Verb,9,2
뜨는,Verb,3,1
뜨는,Verb,10,1
뜨레기,Noun,2,1
뜨면,Verb,9,1
뜨면서,Verb,9,1
뜨자마자,Verb,8,1
뜬,Verb,7,1
뜬,Verb,8,1
뜬게,Verb,10,1
뜬금,Noun,1,1
뜬금,Noun,2,1
뜬금,Noun,4,1
뜬금,Noun,5,2
뜬금,Noun,6,4
뜬금,Noun,7,6
뜬금,Noun,8,6
뜬금,Noun,9,2
뜬금,Noun,10,3
뜬금없이,Adverb,1,1
뜬금없이,Adverb,6,2
뜬금없이,Adverb,7,1
뜬금없이,Adverb,8,1
뜬금없이,Adverb,9,1
뜬금없이,Adverb,10,2
뜯고,Verb,7,1
뜯고,Verb,8,3
뜯고,Verb,9,2
뜯고,Verb,10,4
뜯고하는,Verb,10,1
뜯기고,Verb,10,1
뜯기는,Verb,7,1
뜯기만,Verb,10,1
뜯는,Verb,6,1
뜯는거,Verb,10,1
뜯는것말곤,Verb,4,1
뜯는다,Verb,10,1
뜯어,Verb,8,3
뜯어,Verb,10,1
뜯으러,Verb,10,1
뜯으면서,Verb,10,1
뜯을것,Verb,9,1
뜰,Noun,4,1
