,nickname,text,score,like,dislike,time,watch_movie
3046,aodr****,좀비물 영화 최고의 명작~!많은 좀비물시리즈를 봐왔지만 월드워Z만한 명작은 없었다.,10,1,0,2015-11-18 11:39:00,0
3047,까마귀(ehjs****),ㅇㅇㄹ재밌음 ㅁㅇㅁㅎ,10,1,0,2015-11-11 00:10:00,0
3048,jhc7****,진짜 재밌었음. 시간가는줄 모르고 그냥 끝나버림. 근데 좀 허무함. 2편 기대함,10,1,0,2015-11-07 23:31:00,0
3049,로브하(dais****),클라이막스 전개가 좀 당황스럽지만 나름 재미있었음. 긴장감도 있었고,7,1,0,2015-09-15 00:30:00,0
3050,1102071108pm(wc0c****),1점주는 짓좀 하지말자 이런명작을 놔두고 무슨영화를보냐,10,1,0,2015-07-31 18:41:00,0
3051,dldu****,누가 일부러 1점 주냐 진짜 제대로 좀 평가해라 보는내내 한시도 지루할틈이없고 정말 재밌었는데 ..특히나 마지막에 브래드피트 자판기에서 음료뽑고 유유히 걸어나갈때 진짜 소름 ..,10,1,0,2015-07-31 10:48:00,0
3052,myun****,완성도도 네러티브도 없는 거지같은 한국영화에는 10점만점주면서  헐리우드영화에는 4~5점 주는 한국기자평론가들.,10,1,0,2015-07-29 18:53:00,0
3053,codn943482(rlac****),역대 좀비영화중 최고라고 생각하는데 좀더 영화가 다른좀비영화보다 세련되있고 과학적이어서 좋았음 평점이 별로 높지않다는게 아쉽다 못해도 평점8.50은 넘었어야 된다고 생각함,10,1,0,2015-07-27 00:31:00,0
3054,호연지기(ejae****),그동안 b급에 머물던 좀비 영화를 블록버스터로 재탄생시킨 수작.  전개가 참신하고 흥미롭다.,9,1,0,2015-07-24 22:03:00,0
3055,하늘콩콩(hanu****),박진감있구 잼나네요~^^,10,1,0,2015-07-16 04:10:00,0
3056,Super_Mario(heoi****),"보면서 내가 미국 살지 않아서 다행이다 라고 생각하는 찰나, 바이러스의 근원지가 한국이래ㅋㅋㅋ",8,1,0,2015-07-05 22:46:00,0
3057,무비필리아(alst****),B급이라는 좀비영화라는 장르를 재난영화라는 특성으로 탈바꿈함으로써 좀비영화의 걸작을 만들어냈다,7,1,0,2015-06-14 11:25:00,0
